name,link
ရှမ်းရောက်စားသောက်ဆိုင်,https://www.foodpanda.com.mm/restaurant/i1qs/r-m-reaak-caa-seaak-chiung
Three Tea,https://www.foodpanda.com.mm/restaurant/smzo/three-tea
Chong Qing Grilled Fish,https://www.foodpanda.com.mm/restaurant/j6hf/chong-qing-grilled-fish
Taunggyi Si Taw Gyi Cafe,https://www.foodpanda.com.mm/chain/cy9ot/taunggyi-si-taw-gyi-cafe
EZee Minimart & Online Store (pandago),https://www.foodpanda.com.mm/restaurant/z4f0/ezee-minimart-and-online-store-pandago
Choco,https://www.foodpanda.com.mm/restaurant/q5ae/choco
မင်းဂေါင်လမ်းဦးစိုး,https://www.foodpanda.com.mm/restaurant/coms/mng-ge-ng-lm-uu-ciu
ရှယ်ပဲ မော်လမြိုင်မုန့်ဟင်းခါး,https://www.foodpanda.com.mm/restaurant/ex7u/r-y-pai-meaa-lm-iung-mun-hng-kh
H2A momiji sushi,https://www.foodpanda.com.mm/restaurant/a7ur/h2a-momiji-sushi
CasaBeer & BBQ Restaurant,https://www.foodpanda.com.mm/restaurant/j4xc/casabeer-and-bbq-restaurant
Like & Share,https://www.foodpanda.com.mm/restaurant/pza3/like-and-share
ထူးတာရာ (အအေးနှင့်စားဖွယ်စုံ),https://www.foodpanda.com.mm/restaurant/rjjk/thuu-ttaaraa-aae-n-ng-caa-ph-y-cun
မြသီတာ,https://www.foodpanda.com.mm/restaurant/mnqm/m-siittaa
The Boiling Shrimp,https://www.foodpanda.com.mm/restaurant/o0ql/the-boiling-shrimp
Nancy Curry ( Thitsar Road ),https://www.foodpanda.com.mm/restaurant/yzdk/nancy-curry-thitsar-road
ကြည်ကြည်သန့် မြောင်းမြမုန့်ဟင်းခါး,https://www.foodpanda.com.mm/restaurant/x2iq/k-nny-k-nny-sn-m-eaang-m-mun-hng-kh
K milk & food,https://www.foodpanda.com.mm/restaurant/o9rn/k-milk-and-food
Choco Tea & Juice,https://www.foodpanda.com.mm/restaurant/gn21/choco-tea-and-juice
မင်းကြီးရွှေတောင်ခေါက်ဆွဲနှင့်ကော်ရည်,https://www.foodpanda.com.mm/restaurant/ypqh/mng-k-ii-r-etteaang-khe-k-ch-ain-ng-keaa-rnny
နန်းရှေ့  ( မန္တလေး မြီးရှည် ),https://www.foodpanda.com.mm/restaurant/fl0a/nn-r-e-mnttle-m-ii-r-nny
လက်ချ်မီး - ချစ်တီးထမင်းဆိုင်,https://www.foodpanda.com.mm/restaurant/j1ae/lk-kh-mii-kh-c-ttii-thmng-chiung
ရန်ကုန် မုန့်ဟင်းခါး.အုန်းနို့ခေါက်ဆွဲ,https://www.foodpanda.com.mm/restaurant/l7wx/rn-kun-mun-hng-kh-aun-niu-khe-k-ch-ai
ကျင်ဟုန်,https://www.foodpanda.com.mm/chain/cq5lq/k-ng-hun
မြေအိုး - စားဖွယ်စုံ,https://www.foodpanda.com.mm/restaurant/axz5/m-eaiu-caa-ph-y-cun
အန်တီမြ (မုန့်ဟင်းခါးနှင့်အသုပ်စုံ),https://www.foodpanda.com.mm/restaurant/iwo7/an-ttiim-mun-hng-kh-n-ng-asup-cun
ဟိန်းဟိန်း,https://www.foodpanda.com.mm/restaurant/e6yl/hin-hin
Golden Cuisine,https://www.foodpanda.com.mm/restaurant/c0sl/golden-cuisine
ရန်ကင်းသူ,https://www.foodpanda.com.mm/restaurant/q1lk/rn-kng-suu
Maria's Food and Drink,https://www.foodpanda.com.mm/restaurant/wx4o/marias-food-and-drink
ရွှေကြက်(စားဖွယ်စုံ),https://www.foodpanda.com.mm/restaurant/iyan/r-ek-k-caa-ph-y-cun
မှာမယ် စားမယ် မှာစားမယ်,https://www.foodpanda.com.mm/restaurant/yh07/m-aamy-caa-my-m-aacaa-my
Arkar (AK),https://www.foodpanda.com.mm/chain/cp4tw/arkar-ak
Authentic Chicken Soup(ကြက်သောက်ဆမ်း နှင့် ရိုးရာအစားအစာ),https://www.foodpanda.com.mm/restaurant/ooko/authentic-chicken-soup-k-k-seaak-chm-n-ng-riu-raaacaa-acaa
